26,79.2,117,25.8,0.5989929
26,80.1,117,25.8,0.5989929
25.6,80.7,117,25.8,0.5989929
25.6,81.1,118,25.8,0.5994692
25.5,82,111,25.8,0.5989929
25.1,81.8,111,25.8,0.5989929
25.5,82.2,112,25.7,0.5994692
25.5,81.7,111,25.7,0.5994692
25.6,81.5,113,25.7,0.5994692
25.6,80.2,112,25.7,0.5994692
25.6,80.2,113,25.7,0.5994692
25.7,81,113,25.6,0.5994692
25.8,82,110,25.6,0.5994692
25.6,80.4,108,25.6,0.5994692
25.7,82.1,109,25.6,0.5994692
25.7,81.7,109,25.6,0.5994692
25.7,80.6,109,25.6,0.5994692
25.5,80.3,109,25.6,0.5994692
25.6,81.3,107,25.6,0.5994692
25.6,80.7,106,25.5,0.5994692
25,83.5,105,25.5,0.5999455
25.1,81.9,108,25.5,0.5999455
25,84,108,25.5,0.5994692
25.1,82.9,108,25.5,0.5994692
25.3,83.7,108,25.5,0.5994692
25.1,83.7,109,25.5,0.5994692
25.4,82.4,110,25.5,0.5994692
25.4,83.5,121,25.5,0.5994692
25,84.1,112,25.5,0.5994692
25.4,82.3,108,25.4,0.5994692
25.5,82.8,111,25.4,0.5994692
25.3,82.9,114,25.4,0.5989929
25.2,83.6,119,25.4,0.5989929
25.6,81.1,125,25.4,0.5985166
25.7,78.9,122,25.3,0.5985166
25.9,77.8,126,25.3,0.5985166
25.3,82.3,116,25.3,0.5985166
25.7,80.1,124,25.3,0.5985166
25.9,79.4,134,25.3,0.5980403
26,79.3,148,25.3,0.5966114
26.2,79.3,180,25.3,0.5966114
26.1,79.1,200,25.3,0.5961351
26.1,79.1,163,25.3,0.5956588
26.1,79.6,140,25.3,0.5956588
25.9,81.3,149,25.3,0.5956588
25.8,84.1,148,25.3,0.5956588
25.8,81.7,173,25.3,0.5956588
26.5,79.4,171,25.3,0.5947062
26,82.8,156,25.3,0.5947062
26.1,82,161,25.3,0.5942299
26.1,81.9,167,25.3,0.5947062
25.9,82.7,180,25.3,0.5951825
25.8,83,201,25.3,0.5951825
26,82.9,157,25.3,0.5951825
25.4,82.2,187,25.3,0.5956588
25.5,79.9,230,25.3,0.5951825
25.5,79.9,331,25.3,0.5947062
25.4,80.1,272,25.3,0.5942299
25.9,79.5,287,25.3,0.5942299
25.8,80.2,284,25.3,0.5937536
25.8,80.7,215,25.4,0.5942299
25.8,81.3,218,25.4,0.5942299
26.2,78.4,273,25.4,0.5937536
26.2,78.6,235,25.4,0.5942299
26.2,77.7,250,25.4,0.5942299
26.4,77.2,293,25.5,0.5937536
26.5,76.1,275,25.5,0.5932773
26.5,78.3,204,25.5,0.5932773
26.7,75.3,221,25.5,0.5937536
27,74.5,331,25.5,0.5932773
27.1,75.8,479,25.5,0.5918484
27.7,76.5,546,25.5,0.5904195
27.7,75.2,425,25.6,0.5899432
27.7,72.8,369,25.6,0.5894669
27.8,74.4,369,25.6,0.5894669
